Symbol,Name,Currency
DIV,Diversified Royalty Corp,CAD
DLCG,Dominion Lending Centres Inc.,CAD
DML,Denison Mines Corp,CAD
DN,Delta 9 Cannabis Inc,CAD
DND,Dye & Durham Limited,CAD
DNG,Dynacor Gold Mines Inc,CAD
DNTL,dentalcorp Holdings Ltd.,CAD
DOL,Dollarama Inc,CAD
DOO,BRP Inc,CAD
DPM,Dundee Precious Metals Inc,CAD
DR,Medical Facilities Corp,CAD
DRDR,MCI Onehealth Technologies Inc.,CAD
DRM,DREAM Unlimited Corp,CAD
DRR.U,Dream Residential Real Estate Investment Trust,USD
DRR.UN,Dream Residential Real Estate Investment Trust,CAD
DRT,DIRTT Environmental Solutions,CAD
DRX,ADF Group Inc,CAD
DSG,Descartes Systems Group Inc-The,CAD
DTOL,D2L Inc.,CAD
D.UN,Dream Office Real Estate Investment Trust,CAD
DXEM,Dynamic Active Emerging Markets ETF,CAD
DXET,Dynamic Active Energy Evolution ETF,CAD
DXT,Dexterra Group Inc.,CAD
DYA,dynaCERT Inc.,CAD
E,Enterprise Group Inc,CAD
EAGR,Leaf Mobile Inc.,CAD
ECN,ECN Capital Corp,CAD
ECN.PR.C,ECN Capital Corp,CAD
ECO,EcoSynthetix Inc,CAD
ECOR,Ecora Resources PLC,CAD
EDR,Endeavour Silver Corp,CAD
EDT,Spectral Medical Inc,CAD
EDV,Endeavour Mining Corp,CAD
EFN,Element Fleet Management Corp,CAD
EFN.PR.A,Element Fleet Management Corp,CAD
EFN.PR.C,Element Fleet Management Corp,CAD
EFN.PR.E,Element Fleet Management Corp,CAD
EFR,Energy Fuels Inc-Canada,CAD
EFX,Enerflex Ltd,CAD
EGLX,Enthusiast Gaming Holdings Inc,CAD
EIF,Exchange Income Corp,CAD
EIT.PR.A,Canoe EIT Income Fund,CAD
ELD,Eldorado Gold Corp,CAD
ELEF,Silver Elephant Mining Corp,CAD
ELF,E-L Financial Corp Ltd,CAD
ELF.PR.F,E-L Financial Corp Ltd,CAD
ELF.PR.G,E-L Financial Corp Ltd,CAD
ELF.PR.H,E-L Financial Corp Ltd,CAD
ELO,Eloro Resources Ltd.,CAD
ELR,Eastern Platinum Ltd,CAD
ELVA,Electrovaya Inc.,CAD
EMA,Emera Inc,CAD
EMA.PR.A,Emera Inc,CAD
EMA.PR.B,Emera Inc,CAD
EMA.PR.C,Emera Inc,CAD
EMA.PR.E,Emera Inc,CAD
EMA.PR.F,Emera Inc,CAD
EMA.PR.H,Emera Inc,CAD
EMA.PR.J,Emera Incorporated,CAD
EMA.PR.L,EMERA INCORPORATED PREF SERIES ,CAD
EML.PR.A,Empire Life Insurance Co-The,CAD
EMP.A,Empire Co Ltd,CAD
ENB,Enbridge Inc,CAD
ENB.PF.A,Enbridge Inc,CAD
ENB.PF.C,Enbridge Inc,CAD
ENB.PF.E,Enbridge Inc,CAD
ENB.PF.G,Enbridge Inc,CAD
ENB.PF.K,Enbridge Inc,CAD
ENB.PF.U,Enbridge Inc,USD
ENB.PF.V,Enbridge Inc,USD
ENB.PR.A,Enbridge Inc,CAD
ENB.PR.B,Enbridge Inc,CAD
ENB.PR.D,Enbridge Inc,CAD
ENB.PR.F,Enbridge Inc,CAD
ENB.PR.G,ENBRIDGE INC PREF SERIES G,CAD
ENB.PR.H,Enbridge Inc,CAD
ENB.PR.I,Enbridge Inc.,CAD
ENB.PR.J,Enbridge Inc,CAD
ENB.PR.N,Enbridge Inc,CAD
ENB.PR.P,Enbridge Inc,CAD
ENB.PR.T,Enbridge Inc,CAD
ENB.PR.U,Enbridge Inc,USD
ENB.PR.V,Enbridge Inc,USD
ENB.PR.Y,Enbridge Inc,CAD
ENCC,Horizons Canadian Oil And Gas Equity Covered Call ETF,CAD
ENGH,Enghouse Systems Ltd,CAD
ENS.PR.A,E Split Corp,CAD
EOX,Euromax Resources Ltd,CAD
EPRX,Eupraxia Pharmaceuticals Inc.,CAD
EQB,Equitable Group Inc,CAD
EQB.PR.C,Equitable Group Inc,CAD
EQX,Equinox Gold Corp,CAD
ERD,Erdene Resource Development Corp,CAD
ERE.UN,European Residential Real Estate Investment Trust,CAD
ERF,Enerplus Corp,CAD
ERO,ERO Copper Corp,CAD
ESI,Ensign Energy Services Inc,CAD
ESM,Euro Sun Mining Inc,CAD
ESN,Essential Energy Services Ltd,CAD
ESPX,Evolve S&P 500 Enhanced Yield Fund,CAD
ESPX.B,Evolve S&P 500 Enhanced Yield Fund,CAD
ET,Evertz Technologies Ltd,CAD
ETG,Entree Resources Ltd,CAD
ETSX,Evolve S&P/Tsx 60 Enhanced Yield Fund,CAD
EXE,Extendicare Inc,CAD
EXN,Excellon Resources Inc,CAD
EXRO,Exro Technologies Inc.,CAD
EXRO.WT,Exro Technologies Inc,CAD
FANS,FansUnite Entertainment Inc.,CAD
FAR,Foraco International SA,CAD
FC,Firm Capital Mortgage Investment Corp,CAD
FCD.UN,Firm Capital Property Trust,CAD
FCR.UN,First Capital Real Estate Investment Trust,CAD
FCU,FISSION URANIUM CORP,CAD
FDGE,Farmers Edge Inc.,CAD
FDY,Faraday Copper Corp.,CAD
FEC,Frontera Energy Corp,CAD
FF,First Mining Gold Corp,CAD
FFH,Fairfax Financial Holdings Ltd,CAD
FFH.PR.C,Fairfax Financial Holdings Ltd,CAD
FFH.PR.D,Fairfax Financial Holdings Ltd,CAD
FFH.PR.E,Fairfax Financial Holdings Ltd,CAD
FFH.PR.F,Fairfax Financial Holdings Ltd,CAD
FFH.PR.G,Fairfax Financial Holdings Ltd,CAD
FFH.PR.H,Fairfax Financial Holdings Ltd,CAD
FFH.PR.I,Fairfax Financial Holdings Ltd,CAD
FFH.PR.J,Fairfax Financial Holdings Ltd,CAD
FFH.PR.K,Fairfax Financial Holdings Ltd,CAD
FFH.PR.M,Fairfax Financial Holdings Ltd,CAD
FFH.U,FAIRFAX FINANCIAL HOLDINGS LIMI,USD
FFN.PR.A,North American Financial 15 Split Corp,CAD
FGAA.U,FG Acquisition Corp.,USD
FIH.U,Fairfax India Holdings Corp,USD
FIL,Filo Mining Corp.,CAD
FINC,Forstrong Global Income ETF,CAD
FLNT,Flint Corp.,CAD
FLOW,Flow Beverage Corp.,CAD
FM,First Quantum Minerals Ltd,CAD
FN,First National Financial Corp,CAD
FN.PR.A,First National Financial Corp,CAD
FN.PR.B,First National Financial Corp,CAD
FNV,Franco-Nevada Corp,CAD
FOM,Foran Mining Corporation,CAD
FOOD,Goodfood Market Corp,CAD
FORA,VerticalScope Holdings Inc.,CAD
FORZ,Forza Petroleum Limited,CAD
FR,First Majestic Silver Corp,CAD
FRU,Freehold Royalties Ltd,CAD
FRX,Fennec Pharmaceuticals Inc,CAD
FSV,FirstService Corp,CAD
FSY,Forsys Metals Corp,CAD
FSZ,Fiera Capital Corp,CAD
FT,Fortune Minerals Ltd,CAD
FTG,Firan Technology Group Corp,CAD
FTN.PR.A,Financial 15 Split Corp,CAD
FTS,Fortis Inc-Canada,CAD
FTS.PR.F,Fortis Inc-Canada,CAD
FTS.PR.G,Fortis Inc-Canada,CAD
FTS.PR.H,Fortis Inc-Canada,CAD
FTS.PR.I,Fortis Inc-Canada,CAD
FTS.PR.J,Fortis Inc-Canada,CAD
FTS.PR.K,Fortis Inc-Canada,CAD
FTS.PR.M,Fortis Inc-Canada,CAD
FTT,Finning International Inc,CAD
FTU.PR.B,US Financial 15 Split Corp,CAD
FURY,Fury Gold Mines Limited,CAD
FVI,Fortuna Silver Mines Inc,CAD
FVL,Freegold Ventures Ltd,CAD
